"Symbol";"Value";"Unit";
"TE_901847_2";".078";"";
"REFERENCE";"5787617-2";"";
"TE_106298_2";"29.92";"";
"SUPPLIER";"TE Connectivity";"";
"TE_901781_1";"-55 – 85";"";
"TE_106320_2";".09";"";
"TE_106320_1";"2.29";"";
"TE_901868";"1";"";
"TraceParts.PartNumber";"90-30042019-052473";"";
"URL";"https://www.te.com/usa-en/product-5787617-2.html?te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_106315_2";".062";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"RECP ASSY, R/A, STACKED, THRU-HOLE, USB,";"";
"TraceParts.InstanceId";"90-30042019-0524732N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartTitle";"USB Connectors";"";
"TE_901847_1";"2";"";
"TE_106315_1";"1.57";"";
"TE_906681_1";"245";"";
"TraceParts.PartVersion";"1.0.3";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_906681_2";"500";"";
"TE_106298_1";".76";"";
"TE_901781_2";"-67 – 185";"";
